level,name,SeasNaive,V5,V5+TopDown,V5+MinT
1,Total,0.751430066763917,2.428602023526966,0.9190604271402942,1.060917876167853
2,State,0.7455067073203738,2.234708186416551,0.8897772962091768,1.0098906213890477
3,Store,0.7737980799924615,2.122783116004122,0.9009031001536633,1.0036562969575735
4,Category,0.7653127056371299,2.3325181172780147,0.9298157106037545,1.0423787743742072
5,Department,0.8053640441913045,2.2954377995899686,0.9959846753277161,1.0822181819891477
6,State*Cat,0.767362756411619,2.1087117957169954,0.8955606731590338,0.9949215483281725
7,State*Dept,0.8015710196399392,2.0441835081672894,0.9418035848622093,1.0197001655292774
8,Store*Cat,0.8106726985309086,1.9281333834210015,0.887698434266738,0.9804221125256142
9,Store*Dept,0.8532854066754302,1.8070173294167715,0.9270690098728434,0.9853749782374612
10,Item,1.0574820971044367,1.1473810978244035,1.0437799414312643,1.042000239947471
11,State*Item,1.0688738796587884,0.9875071609253536,0.9588831637772048,0.9441289671704202
12,Item*Store,1.0600502521085295,0.8802058206044812,0.888099718365392,0.870247034406354
Avg,Overall,0.8550591428362365,1.859765778240993,0.9315363112641076,1.00298806641855
