level,name,SeasNaive,V5-bottom,WP-MO-Theta,WP-MO-V5,WP-MO-V5Ens
1,Total,0.751430066763917,2.428602023526966,0.6555113249725448,0.8006995841563148,0.6767382198312066
2,State,0.7455067073203738,2.234708186416551,0.6694956281128973,0.7872327884435343,0.6854902644115044
3,Store,0.7737980799924615,2.122783116004122,0.7519249828745812,0.8188452159208739,0.7559998347019241
4,Category,0.7653127056371299,2.3325181172780147,0.6758547075533822,0.8135498568791415,0.6970470550808643
5,Department,0.8053640441913045,2.2954377995899686,0.7533962325588822,0.8722770097181248,0.7688268073304073
6,State*Cat,0.767362756411619,2.1087117957169954,0.702490997145807,0.8053826009346087,0.716466148179698
7,State*Dept,0.8015710196399392,2.0441835081672894,0.7613609880455537,0.8459885884760427,0.7698231930313031
8,Store*Cat,0.8106726985309086,1.9281333834210015,0.7755586112028714,0.8308979912482324,0.7788596187666126
9,Store*Dept,0.8532854066754302,1.8070173294167715,0.8249644616949255,0.86704690816531,0.8262372830919377
10,Item,1.0574820971044367,1.1473810978244035,0.9616923305808623,0.9765966925584195,0.9638105367791956
11,State*Item,1.0688738796587884,0.9875071609253536,0.9249097268413453,0.9322289452233363,0.9263008209668089
12,Item*Store,1.0600502521085295,0.8802058206044812,0.8818306420586555,0.8850896389256813,0.8826626565651399
Avg,Overall,0.8550591428362365,1.859765778240993,0.7782492194701924,0.8529863183874684,0.7873552032280502
